"index","prompt","output","bytes","last_write_time"
"0","A person walks forward.","evaluate_gpt0.bvh","204218","2026-05-21 20:34:49"
"1","A person turns around.","evaluate_gpt1.bvh","788698","2026-05-21 20:34:51"
"2","A person sits down.","evaluate_gpt2.bvh","821458","2026-05-21 20:34:54"
"3","A person jumps forward.","evaluate_gpt3.bvh","304154","2026-05-21 20:34:55"
"4","A person runs in a circle.","evaluate_gpt4.bvh","437778","2026-05-21 20:34:56"
"5","A person walks forward slowly and deliberately.","evaluate_gpt5.bvh","687242","2026-05-21 20:34:58"
"6","A person performs a graceful dance motion.","evaluate_gpt6.bvh","704012","2026-05-21 20:35:01"
"7","A person moves like doing tai chi.","evaluate_gpt7.bvh","438133","2026-05-21 20:35:02"
"8","A person jumps energetically.","evaluate_gpt8.bvh","270842","2026-05-21 20:35:03"
"9","A person walks in a tired and heavy style.","evaluate_gpt9.bvh","555081","2026-05-21 20:35:05"
